connection,character1,character2
kryptonian,Superman,Supergirl
speedster,Flash,Quicksilver
billionaire,Batman,Iron Man
blind,Daredevil,Toph Beifong
telekinetic,Jean Grey,Eleven
shapeshifter,Mystique,Beast Boy
super soldier,Captain America,Winter Soldier
archer,Hawkeye,Green Arrow
spider-powered,Spider-Man,Spider-Gwen
genius inventor,Tony Stark,Reed Richards
weather manipulation,Storm,Thor
super strength,Hulk,All Might
magic user,Doctor Strange,Zatanna
aquatic,Aquaman,Namor
elastic powers,Mr. Fantastic,Elastigirl
energy projection,Cyclops,Starfire
size-changing,Ant-Man,Atom
sonic powers,Black Canary,Banshee
fire manipulation,Human Torch,Zuko
ice powers,Iceman,Elsa
metal manipulation,Magneto,Toph Beifong
healing factor,Wolverine,Deadpool
plant manipulation,Poison Ivy,Swamp Thing
energy absorption,Rogue,Kevin Levin
time manipulation,Doctor Strange,Dialga
reality warping,Scarlet Witch,Franklin Richards
cosmic awareness,Silver Surfer,Captain Marvel
psychic,Professor X,Martian Manhunter
super intelligence,Bruce Banner,Lex Luthor
electricity manipulation,Static Shock,Misaka Mikoto
gravity manipulation,Graviton,Ochaco Uraraka
teleportation,Nightcrawler,Goku
force field,Invisible Woman,Violet Parr
energy construct,Green Lantern,Star Sapphire
super speed,Sonic the Hedgehog,The Flash
symbiote host,Venom,Carnage
radiation powers,Firestorm,Captain Atom
technopathy,Cyborg,Ultron
density manipulation,Vision,Martian Manhunter
super hearing,Superman,Black Bolt
flight,Wonder Woman,Captain Marvel
immortality,Vandal Savage,Apocalypse
cloning,Multiple Man,Naruto Uzumaki
energy vampire,Rogue,Parasite
super breath,Superman,Iceman
pheromone control,Poison Ivy,Daken
portal creation,Doctor Strange,Rick Sanchez
luck manipulation,Domino,Nagito Komaeda
dream manipulation,Sandman,Freddy Krueger
animal communication,Aquaman,Beast
super intelligence,Brainiac,Brainiac 5
energy absorption,Sebastian Shaw,Kevin Levin
precognition,Spider-Man,Paul Atreides
size increase,Giant-Man,Mount Lady
intangibility,Kitty Pryde,Danny Phantom
super smell,Wolverine,Kiba Inuzuka
elasticity,Plastic Man,Luffy
mind control,Purple Man,Lelouch vi Britannia